No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Jaden McDaniels,PF,6-9,185,September 29 2000,us,2,Washington
12,Taurean Prince,PF,6-7,218,March 22 1994,us,6,Baylor
6,Jordan McLaughlin,PG,5-11,185,April 9 1996,us,3,USC
10,Bryn Forbes,SG,6-2,205,July 23 1993,us,6,Michigan State
11,Naz Reid,C,6-9,264,August 26 1999,us,3,LSU
5,Kyle Anderson,SF,6-9,230,September 20 1993,us,8,UCLA
25,Austin Rivers,SG,6-4,200,August 1 1992,us,10,Duke
13,Nathan Knight,PF,6-10,253,September 20 1997,us,2,William & Mary
7,Wendell Moore Jr.,SG,6-5,213,September 18 2001,us,R,Duke
,Josh Minott,SF,6-8,205,November 25 2002,us,R,Memphis
,Luka Garza  (TW),C,6-11,235,December 27 1998,us,1,Iowa
15,Nikola Jokić,C,6-11,284,February 19 1995,rs,7,
1,Michael Porter Jr.,SF,6-10,218,June 29 1998,us,3,Missouri
50,Aaron Gordon,PF,6-8,235,September 16 1995,us,8,Arizona
5,Kentavious Caldwell-Pope,SG,6-5,204,February 18 1993,us,9,Georgia
3,Bones Hyland,PG,6-3,173,September 14 2000,us,1,VCU
11,Bruce Brown,PG,6-4,202,August 15 1996,us,4,Miami (FL)
32,Jeff Green,PF,6-8,235,August 28 1986,us,14,Georgetown
0,Christian Braun,SG,6-7,218,April 17 2001,us,R,Kansas
27,Jamal Murray,PG,6-3,215,February 23 1997,ca,5,Kentucky
6,DeAndre Jordan,C,6-11,265,July 21 1988,us,14,Texas A&M
22,Zeke Nnaji,PF,6-9,240,January 9 2001,us,2,Arizona
9,Davon Reed,SG,6-5,208,June 11 1995,us,3,Miami (FL)
8,Peyton Watson,SG,6-8,200,September 11 2002,us,R,UCLA
14,Ish Smith,PG,6-0,175,July 5 1988,us,12,Wake Forest
31,Vlatko Čančar,PF,6-8,236,April 10 1997,si,3,
,Collin Gillespie  (TW),PG,6-3,195,June 25 1999,us,R,Villanova
,Jack White  (TW),SF,6-7,225,August 5 1997,au,R,Duke
77,Luka Dončić,PG,6-7,230,February 28 1999,si,4,
35,Christian Wood,PF,6-10,214,September 27 1995,us,6,UNLV
26,Spencer Dinwiddie,PG,6-5,215,April 6 1993,us,8,Colorado
11,Tim Hardaway Jr.,SG,6-5,205,March 16 1992,us,9,Michigan
25,Reggie Bullock,SF,6-6,205,March 16 1991,us,9,UNC
10,Dorian Finney-Smith,PF,6-7,220,May 4 1993,us,6,Florida
42,Maxi Kleber,PF,6-10,240,January 29 1992,de,5,
00,JaVale McGee,C,7-0,270,January 19 1988,us,14,Nevada
8,Josh Green,SG,6-5,200,November 16 2000,au,2,Arizona
5,Tyler Dorsey  (TW),SG,6-5,183,February 18 1996,us,2,Oregon
1,Theo Pinson,SG,6-5,212,November 5 1995,us,4,UNC
23,McKinley Wright IV  (TW),PG,6-0,196,October 25 1998,us,1,Colorado
7,Dwight Powell,C,6-10,240,July 20 1991,ca,8,Stanford
3,Jaden Hardy,SG,6-4,198,July 5 2002,us,R,
,Dāvis Bertāns,PF,6-10,225,November 12 1992,lv,6,
,Frank Ntilikina,PG,6-4,200,July 28 1998,be,5,
,Facundo Campazzo,PG,5-10,195,March 23 1991,ar,2,
4,Jalen Green,SG,6-4,178,February 9 2002,us,1,
3,Kevin Porter Jr.,SG,6-4,203,May 4 2000,us,3,USC
1,Jabari Smith Jr.,PF,6-10,220,May 13 2003,us,R,Auburn
17,Tari Eason,SF,6-8,216,May 10 2001,us,R,Cincinnati LSU
6,Kenyon Martin Jr.,SF,6-6,215,January 6 2001,us,2,
9,Josh Christopher,SG,6-5,215,December 8 2001,us,1,Arizona State
25,Garrison Mathews,SG,6-5,215,October 24 1996,us,3,Lipscomb
28,Alperen Şengün,C,6-9,235,July 25 2002,tr,1,
10,Eric Gordon,SG,6-3,215,December 25 1988,us,14,Indiana
20,Bruno Fernando,C,6-9,240,August 15 1998,ao,3,Maryland
15,Daishen Nix,PG,6-5,224,February 13 2002,us,1,
16,Usman Garuba,PF,6-8,220,March 9 2002,es,1,
51,Boban Marjanović,C,7-3,290,August 15 1988,rs,7,
12,Trevor Hudgins  (TW),PG,6-0,180,March 23 1999,us,R,Northwest Missouri State University
,TyTy Washington Jr.,PG,6-3,197,November 15 2001,us,R,Kentucky
,Jae'Sean Tate,SF,6-4,230,October 28 1995,us,2,Ohio State
,Darius Days  (TW),PF,6-7,245,October 20 1999,us,R,LSU
3,Josh Giddey,SG,6-8,210,October 10 2002,au,1,
5,Luguentz Dort,SG,6-3,215,April 19 1999,ca,3,Arizona State
23,Tre Mann,PG,6-3,178,February 3 2001,us,1,Florida
50,Jeremiah Robinson-Earl,PF,6-9,230,November 3 2000,us,1,Villanova
33,Mike Muscala,C,6-10,240,July 1 1991,us,9,Bucknell
97,Eugene Omoruyi  (TW),SF,6-7,244,February 14 1997,ng,1,Rutgers University Oregon
34,Kenrich Williams,PF,6-6,210,December 2 1994,us,4,TCU
55,Darius Bazley,PF,6-8,208,June 12 2000,us,3,
17,Aleksej Pokusevski,PF,7-0,190,December 26 2001,rs,2,
13,Ousmane Dieng,SF,6-10,216,May 21 2003,fr,R,
2,Shai Gilgeous-Alexander,SG,6-6,180,July 12 1998,ca,4,Kentucky
21,Aaron Wiggins,SG,6-6,200,January 2 1999,us,1,Maryland
11,Isaiah Joe,SG,6-4,165,July 2 1999,us,2,Arkansas
8,Jalen Williams,SG,6-6,195,April 14 2001,us,R,Santa Clara
6,Jaylin Williams,PF,6-10,240,June 29 2002,us,R,Arkansas
,Chet Holmgren,PF,7-0,195,May 1 2002,us,R,Gonzaga
5,De'Aaron Fox,PG,6-3,185,December 20 1997,us,5,Kentucky
9,Kevin Huerter,SG,6-7,190,August 27 1998,us,4,Maryland
10,Domantas Sabonis,PF,6-11,240,May 3 1996,us,6,Gonzaga
3,Terence Davis,SG,6-4,201,May 16 1997,us,3,Ole Miss
0,Malik Monk,SG,6-3,200,February 4 1998,us,5,Kentucky
40,Harrison Barnes,SF,6-8,225,May 30 1992,us,10,UNC
22,Richaun Holmes,PF,6-10,235,October 15 1993,us,7,Bowling Green
15,Davion Mitchell,PG,6-2,205,September 5 1998,us,1,Auburn Baylor
30,KZ Okpala,PF,6-8,215,April 28 1999,us,3,Stanford
13,Keegan Murray,SF,6-8,215,August 19 2000,us,R,Iowa
41,Trey Lyles,PF,6-9,234,November 5 1995,ca,7,Kentucky
7,Chimezie Metu,C,6-9,225,March 22 1997,us,4,USC
,Alex Len,C,7-0,250,June 16 1993,ua,9,Maryland
,Neemias Queta  (TW),C,7-0,245,July 13 1999,pt,1,Utah State University
,Keon Ellis  (TW),SG,6-6,175,January 8 2000,us,R,Florida SouthWestern State College Alabama
,Chima Moneke,SF,6-6,222,December 24 1995,au,R,Northeast Community College UC-Davis
,Matthew Dellavedova,PG,6-3,200,September 8 1990,au,8,Saint Mary's
6,LeBron James,SF,6-9,250,December 30 1984,us,19,
3,Anthony Davis,PF,6-10,253,March 11 1993,us,10,Kentucky
4,Lonnie Walker IV,SG,6-4,204,December 14 1998,us,4,Miami (FL)
0,Russell Westbrook,PG,6-3,200,November 12 1988,us,14,UCLA
21,Patrick Beverley,PG,6-1,180,July 12 1988,us,10,Arkansas
15,Austin Reaves,SG,6-5,206,May 29 1998,us,1,Wichita State Oklahoma
12,Kendrick Nunn,PG,6-2,190,August 3 1995,us,2,Illinois Oakland
95,Juan Toscano-Anderson,SF,6-6,209,April 10 1993,us,3,Marquette
37,Matt Ryan,SF,6-7,215,April 17 1997,us,1,Notre Dame Vanderbilt Chattanooga
30,Damian Jones,C,6-11,245,June 30 1995,us,6,Vanderbilt
7,Troy Brown Jr.,SF,6-6,215,July 28 1999,us,4,Oregon
10,Max Christie,SG,6-6,190,February 10 2003,us,R,Michigan State
14,Scotty Pippen Jr.  (TW),PG,6-3,185,November 10 2000,us,R,Vanderbilt
20,Cole Swider  (TW),SF,6-9,220,May 8 1999,us,R,Villanova Syracuse
35,Wenyen Gabriel,PF,6-9,205,March 26 1997,sd,3,Kentucky
,Thomas Bryant,C,6-10,248,July 31 1997,us,5,Indiana
,Dennis Schröder,PG,6-3,172,September 15 1993,de,9,
